# Warehouse name	address1	address2	city	State	Zip Code																					
BOL Main	530 E. First St.	Dayton	OH	45431																						
#																										
# Title	TOC	Rank	PNotes	Keywords	Author	Affil	Intrvw	Ship Message	Photo	Media	Lnth	Release	ISBN/ASIN	Dimension	List	Our P	End Price	Reviews	Num Reviews	Avg Rating	Pub Name	Pub Address	Pub City	State	Shelf	On Order
2001: A Space Odyssey	none	1	none	sci fi	Arthur C. Clarke	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351021	"5"" x 8"""	14.99	14.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
Green Eggs and Ham	none	1	none	children	Dr. Seuss	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351022	"5"" x 8"""	8.39	8.39	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
The Sleep Book	none	1	none	children	Dr. Seuss	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351023	"5"" x 8"""	7.99	7.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
The Lorax	none	1	none	children	Dr. Seuss	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351024	"5"" x 8"""	6.29	6.29	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
How the Grinch Stole Christmas	none	1	none	children	Dr. Seuss	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351025	"5"" x 8"""	7.99	7.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
The Hobbit	none	1	none	fantasy	J.R.R. Tolkien	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351026	"5"" x 8"""	5.99	5.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
The Two Towers	none	1	none	fantasy	J.R.R. Tolkien	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351027	"5"" x 8"""	5.99	5.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
Return of the King	none	1	none	fantasy	J.R.R. Tolkien	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351028	"5"" x 8"""	5.99	5.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
The Silmarillion	none	1	none	fantasy	J.R.R. Tolkien	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351029	"5"" x 8"""	7.99	7.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
The Hitchhikers Guide to the Galaxy	none	1	none	sci fi	Douglas Adams	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351030	"5"" x 8"""	8.99	8.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
So long and thanks for all the Fish	none	1	none	sci fi	Douglas Adams	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351031	"5"" x 8"""	6.99	6.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
Longitude	none	1	none	sci fi	William Wyler	none	none	Available in 24 hours	-1	HBOOK	1000	19990314	6101351032	"5"" x 8"""	23.99	23.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
12 Monkeys	none	1	none	sci fi	MGM	none	none	Available in 24 hours	-1	DVD	1000	19990314	6101351033	"5"" x 8"""	19.99	19.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
Mercury Rising	none	1	none	sci fi	Universal Studios	none	none	Available in 24 hours	-1	DVD	1000	19990314	6101351034	"5"" x 8"""	19.99	19.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
Die Hard	none	1	none	sci fi	Universal Studios	none	none	Available in 24 hours	-1	DVD	1000	19990314	6101351035	"5"" x 8"""	19.99	19.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
Contact	none	1	none	sci fi	MGM	none	none	Available in 24 hours	-1	DVD	1000	19990314	6101351036	"5"" x 8"""	19.99	19.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
Return of the Jedi	none	1	none	sci fi	20th Century Fox	none	none	Available in 24 hours	-1	DVD	1000	19990314	6101351037	"5"" x 8"""	16.99	16.99	20010824	none	1	4	"HarperCollins Publishers, Incorporated"	101 Morris Street	Sebastopol	CA	400	12
